name,city,state,cert,id_number,end_date,
TEXAS PREMIER BANK  NATIONAL ASSOCIATION,BROOKSHIRE,TX,25062,44451,2006-12-31 00:00:00
BOSTON SAFE DEPOSIT AND TRUST COMPANY,BOSTON,MA,22295,44602,2008-06-30 00:00:00
LIBERTY BANK  SSB,AUSTIN,TX,32466,45270,2004-06-30 00:00:00
FIRST CHARTER BANK,CHARLOTTE,NC,4886,45627,2008-03-31 00:00:00
NORTH LOUP VALLEY BANK,NORTH LOUP,NE,16468,47153,2014-12-31 00:00:00
COMMUNITY STATE BANK,PRENTICE,WI,27053,47256,2023-03-31 00:00:00
SOUTHERN FINANCIAL BANK,WARRENTON,VA,32470,47377,2004-03-31 00:00:00
FIRST NATIONAL BANK OF BENTON,BENTON,LA,25065,47452,2022-12-31 00:00:00
FIRST STATE BANK OF FLOODWOOD,FLOODWOOD,MN,9742,47658,2003-12-31 00:00:00
FIRST COMMUNITY BANK,SAVAGE,MN,8852,48552,2007-12-31 00:00:00
OKAW BUILDING AND LOAN  S.B.,MATTOON,IL,30644,48673,2004-09-30 00:00:00
FIRST COMMERCIAL BANK,CHICAGO,IL,16488,48730,2010-12-31 00:00:00
MASON STATE BANK,MASON,MI,1001,49344,2016-12-31 00:00:00
WELLS FARGO BANK ARIZONA  NATIONAL ASSOCIATION,PHOENIX,AZ,19501,49362,2003-12-31 00:00:00
FIRST BANK AND TRUST COMPANY OF PRINCETON  KENTUCKY,PRINCETON,KY,2764,49540,2005-06-30 00:00:00
PALMYRA STATE BANK,PALMYRA,WI,15116,49643,2015-12-31 00:00:00
HIGH POINT BANK AND TRUST COMPANY,HIGH POINT,NC,12267,49821,2016-09-30 00:00:00
LITTLE RIVER BANK,LEPANTO,AR,1298,50546,2016-09-30 00:00:00
WILBURTON STATE BANK,WILBURTON,OK,2332,50854,2016-09-30 00:00:00
1ST FINANCIAL BANK,OVERLAND PARK,KS,1149,50957,2017-03-31 00:00:00
GREEN RIVER BANK,MORGANTOWN,KY,8791,51347,2004-12-31 00:00:00
CITY BANK OF HARTFORD,HARTFORD,AL,22131,51730,2014-12-31 00:00:00
CHART BANK  A COOPERATIVE BANK,WALTHAM,MA,26943,51972,2005-03-31 00:00:00
BARTLETT FARMERS BANK  THE,BARTLETT,OH,9133,52410,2013-09-30 00:00:00
HARDWICK STATE BANK,HARDWICK,MN,10575,52456,2007-09-30 00:00:00
HERNDON NATIONAL BANK  THE,HERNDON,PA,13836,53015,2011-06-30 00:00:00
MELLON UNITED NATIONAL BANK,MIAMI,FL,21837,53033,2017-06-30 00:00:00
GUARANTY BANK,MAMOU,LA,16928,53239,2012-12-31 00:00:00
FIRST NATIONAL BANK IN WEWOKA,WEWOKA,OK,15008,53453,2014-06-30 00:00:00
FIRST STATE BANK,HEMPHILL,TX,16182,53752,2019-09-30 00:00:00
BANK OF POYNETTE,POYNETTE,WI,11603,54049,2018-12-31 00:00:00
CAROLINA COMMUNITY BANK  N.A.,LATTA,SC,11537,54124,2003-03-31 00:00:00
FIRST STATE BANK  THE,CAMARGO,OK,2303,54357,2010-12-31 00:00:00
COMMUNITY BANK OF SOUTHERN INDIANA,NEW ALBANY,IN,28915,54375,2016-06-30 00:00:00
AMERICAN BANK & TRUST WISCONSIN,CUBA CITY,WI,6183,54441,2019-03-31 00:00:00
BANK ONE  WHEELING-STEUBENVILLE  NATIONAL ASSOCIATION,WHEELING,WV,13391,55019,2003-06-30 00:00:00
HOME SAVINGS BANK OF ALBEMARLE  INC.  SSB,ALBEMARLE,NC,30668,55176,2014-03-31 00:00:00
NEBRASKA STATE BANK OF OMAHA,OMAHA,NE,20927,55251,2007-09-30 00:00:00
ALLFIRST FINANCIAL CENTER NATIONAL ASSOCIATION,MILLSBORO,DE,23834,55916,2003-06-30 00:00:00
PEOPLES BANK OF LOUISIANA,AMITE,LA,25720,56230,2008-09-30 00:00:00
CITIZENS NATIONAL BANK OF MEYERSDALE  THE,MEYERSDALE,PA,7919,56427,2015-12-31 00:00:00
AMERICAN BUSINESS BANK  NATIONAL ASSOCIATION,DENVER,CO,22683,56557,2018-12-31 00:00:00
FIRST NATIONAL BANK OF NORTH EAST,NORTH EAST,MD,4856,56726,2007-03-31 00:00:00
FARMERS & MERCHANTS BANK,DUBLIN,GA,10059,57134,2004-09-30 00:00:00
NEW WINDSOR STATE BANK,NEW WINDSOR,MD,5866,57228,2017-06-30 00:00:00
FIRST NATIONAL BANK OF BYERS  THE,BYERS,TX,3122,57255,2014-03-31 00:00:00
WARE CO-OPERATIVE BANK,WARE,MA,26594,57572,2014-03-31 00:00:00
HEREFORD STATE BANK,HEREFORD,TX,16589,57956,2012-09-30 00:00:00
ADAMS CO-OPERATIVE BANK,ADAMS,MA,26568,58074,2011-12-31 00:00:00
FIRST COLEBROOK BANK  THE,COLEBROOK,NH,6212,58207,2018-03-31 00:00:00
AMERICAN BANK LAKE CITY,LAKE CITY,MN,10973,59259,2006-12-31 00:00:00
ECONOMY CO-OPERATIVE BANK,MERRIMAC,MA,26583,59679,2011-12-31 00:00:00
FIRST NATIONAL BANK OF NEWPORT,NEWPORT,PA,7656,60219,2007-03-31 00:00:00
FIRST NATIONAL BANK OF LUCEDALE,LUCEDALE,MS,20329,60433,2012-12-31 00:00:00
TOLLAND BANK,VERNON,CT,18205,61001,2004-03-31 00:00:00
PENINSULA BANK,ENGLEWOOD,FL,26563,61533,2010-03-31 00:00:00
CITIZENS BANK NEW HAMPSHIRE,MANCHESTER,NH,6214,62101,2007-06-30 00:00:00
KLEIN NATIONAL BANK OF MADISON  THE,MADISON,MN,5189,62651,2005-03-31 00:00:00
WHIDBEY ISLAND BANK,COUPEVILLE,WA,18412,63078,2014-03-31 00:00:00
